%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=215678, 2017/11/24 11:34:59.78)
1 8 1.046124e+00 0 0 1.031946e+00 1.047553e+00 1.036168e+00 1.208932e+00 
2 16 1.215551e+00 0 0 1.238514e+00 1.387206e+00 1.184526e+00 1.367950e+00 
3 24 1.066211e+00 0 0 1.043825e+00 1.156369e+00 1.007547e+00 1.158923e+00 
4 32 1.132732e+00 0 0 1.136934e+00 1.158111e+00 1.015643e+00 1.293036e+00 
5 40 1.186474e+00 0 0 1.247488e+00 1.186580e+00 1.006116e+00 1.313761e+00 
6 48 1.339183e+00 0 0 1.613346e+00 1.264270e+00 1.070088e+00 1.399432e+00 
7 56 1.419185e+00 0 0 1.736928e+00 1.327389e+00 1.081536e+00 1.436240e+00 
8 64 1.650215e+00 0 0 2.156297e+00 1.549313e+00 1.272300e+00 1.685086e+00 
9 72 1.430065e+00 0 0 1.788062e+00 1.284765e+00 1.050644e+00 1.414523e+00 
10 80 1.358245e+00 0 0 1.656657e+00 1.213175e+00 9.473513e-01 1.323157e+00 
11 88 1.516325e+00 0 0 1.998500e+00 1.281378e+00 1.097802e+00 1.520580e+00 
12 96 1.751691e+00 0 0 2.495062e+00 1.526328e+00 1.263830e+00 1.943289e+00 
13 104 1.724947e+00 0 0 2.395954e+00 1.425652e+00 1.285998e+00 1.826308e+00 
14 112 1.633312e+00 0 0 2.179810e+00 1.310714e+00 1.169058e+00 1.751120e+00 
15 120 1.445408e+00 0 0 1.865620e+00 1.110393e+00 1.014147e+00 1.507122e+00 
16 128 1.289312e+00 0 0 1.587552e+00 9.710940e-01 8.848016e-01 1.316563e+00 
17 136 1.218811e+00 0 0 1.431342e+00 8.716232e-01 8.530820e-01 1.187316e+00 
18 144 1.146742e+00 0 0 1.281269e+00 7.761320e-01 8.126761e-01 1.076511e+00 
19 152 1.005443e+00 0 0 1.137187e+00 6.457301e-01 6.938184e-01 9.060701e-01 
20 160 7.999542e-01 0 0 8.653151e-01 4.856420e-01 5.271219e-01 6.953311e-01 
21 168 7.423572e-01 0 0 7.881782e-01 4.578806e-01 4.863797e-01 6.143263e-01 
22 176 7.062882e-01 0 0 7.113899e-01 4.151822e-01 4.424603e-01 5.940819e-01 
23 184 7.513648e-01 0 0 7.377017e-01 4.201053e-01 5.513279e-01 5.971880e-01 
24 192 6.046200e-01 0 0 5.808035e-01 3.241004e-01 4.328782e-01 4.565020e-01 
25 200 5.066501e-01 0 0 4.694816e-01 2.566918e-01 3.563970e-01 3.650073e-01 
26 208 4.667639e-01 0 0 4.418159e-01 2.237153e-01 3.260890e-01 3.278495e-01 
27 216 4.591337e-01 0 0 4.448268e-01 2.111073e-01 3.067178e-01 3.279936e-01 
28 224 5.569405e-01 0 0 5.669532e-01 2.493835e-01 3.812574e-01 4.332824e-01 
