%  columns="iteration, evaluation, void, void, void, xmean" (startseed=215678, 2017/11/24 11:34:59.78)
0 0 0 0 0 1.552512e-01 -2.289600e+00 3.927358e-01 -1.531841e+00 
1 8 0 0 0 -3.286725e-01 -1.618830e+00 2.622176e-01 -2.196056e-01 
2 16 0 0 0 -1.166885e+00 -3.448580e+00 1.001382e+00 -9.584636e-02 
3 24 0 0 0 -5.393461e-01 -2.990921e+00 1.347225e+00 -8.990499e-01 
4 32 0 0 0 -1.431219e+00 -2.788973e+00 8.893329e-01 -2.031888e+00 
5 40 0 0 0 -2.124092e+00 -2.199295e+00 7.788965e-01 -2.159936e+00 
6 48 0 0 0 -3.597472e+00 -2.266164e+00 7.781685e-01 -1.870428e+00 
7 56 0 0 0 -4.125474e+00 -1.539918e+00 7.980744e-01 -1.091352e+00 
8 64 0 0 0 -5.472312e+00 -7.994026e-01 1.209391e-01 -2.048501e-01 
9 72 0 0 0 -4.287551e+00 -1.314722e+00 4.467424e-01 4.763603e-02 
10 80 0 0 0 -5.056562e+00 -4.980821e-01 7.552291e-01 5.263554e-01 
11 88 0 0 0 -6.569222e+00 -6.376433e-01 -3.223802e-01 1.460237e+00 
12 96 0 0 0 -8.225211e+00 5.213105e-01 -6.480639e-01 2.746601e+00 
13 104 0 0 0 -6.138922e+00 1.798363e-01 -1.486734e+00 1.528410e+00 
14 112 0 0 0 -6.431259e+00 -3.768039e-01 -7.265633e-01 3.111138e+00 
15 120 0 0 0 -5.948913e+00 2.439289e-01 -6.096455e-01 3.253285e+00 
16 128 0 0 0 -6.420953e+00 -4.494439e-01 -6.400633e-02 2.262276e+00 
17 136 0 0 0 -6.709942e+00 -1.860596e-01 4.866531e-01 2.512524e+00 
18 144 0 0 0 -6.321790e+00 -1.394745e-01 9.360050e-01 2.563949e+00 
19 152 0 0 0 -7.438205e+00 2.161951e-02 3.657239e-01 2.948114e+00 
20 160 0 0 0 -7.209144e+00 -5.032551e-02 1.922786e-01 2.904517e+00 
21 168 0 0 0 -6.901324e+00 3.677137e-01 1.380480e-01 3.051942e+00 
22 176 0 0 0 -6.842320e+00 3.253474e-01 3.993922e-02 3.516567e+00 
23 184 0 0 0 -7.287521e+00 3.504935e-01 -5.805651e-01 3.287390e+00 
24 192 0 0 0 -7.093137e+00 1.582311e-01 -1.238911e-01 3.366344e+00 
25 200 0 0 0 -6.885092e+00 1.737198e-01 1.334353e-01 3.270136e+00 
26 208 0 0 0 -6.560849e+00 1.547492e-01 2.942107e-01 3.303458e+00 
27 216 0 0 0 -7.087490e+00 2.376517e-01 2.864838e-01 3.594099e+00 
28 224 0 0 0 -7.418861e+00 1.068362e-01 -2.545925e-02 3.905743e+00 
29 232 0 0 0 -7.503012e+00 3.213973e-01 -1.662474e-01 3.896299e+00 
30 240 0 0 0 -7.316221e+00 5.450053e-01 9.516588e-03 4.245180e+00 
31 248 0 0 0 -7.492111e+00 5.220998e-01 1.797453e-01 4.608142e+00 
32 256 0 0 0 -7.244706e+00 5.828972e-01 -1.253490e-01 4.644979e+00 
33 264 0 0 0 -7.356604e+00 5.177919e-01 7.639055e-02 4.548017e+00 
34 272 0 0 0 -6.919076e+00 3.880355e-01 4.391910e-01 4.483083e+00 
35 280 0 0 0 -6.883102e+00 2.918493e-01 1.177367e-01 3.954887e+00 
36 288 0 0 0 -6.478101e+00 2.110524e-01 2.302424e-01 4.042594e+00 
37 296 0 0 0 -6.150451e+00 2.210308e-01 5.764299e-01 3.944650e+00 
38 304 0 0 0 -5.949198e+00 2.210265e-01 4.584948e-01 3.824482e+00 
39 312 0 0 0 -6.392314e+00 3.058702e-01 3.048317e-01 4.007812e+00 
40 320 0 0 0 -6.664730e+00 3.438011e-01 5.186623e-01 4.312933e+00 
41 328 0 0 0 -6.915898e+00 5.661086e-01 3.660367e-01 4.638242e+00 
42 336 0 0 0 -6.443400e+00 3.952793e-01 5.046938e-01 4.248347e+00 
43 344 0 0 0 -6.458572e+00 3.242644e-01 3.698992e-01 4.170879e+00 
44 352 0 0 0 -6.567628e+00 2.195012e-01 1.401139e-01 4.036381e+00 
45 360 0 0 0 -6.672966e+00 2.623209e-01 -7.950961e-02 3.958346e+00 
46 368 0 0 0 -6.663455e+00 2.198450e-01 -1.251389e-01 3.747489e+00 
47 376 0 0 0 -6.921883e+00 2.997633e-01 1.631505e-02 4.115628e+00 
48 384 0 0 0 -7.244157e+00 3.388270e-01 1.009191e-01 4.487276e+00 
49 392 0 0 0 -7.230302e+00 4.908024e-01 7.280843e-02 4.466641e+00 
50 400 0 0 0 -6.966647e+00 5.293401e-01 -3.342518e-02 4.296279e+00 
51 408 0 0 0 -6.883662e+00 5.251799e-01 -2.084463e-01 4.164709e+00 
52 416 0 0 0 -6.909180e+00 5.011441e-01 -3.030548e-01 4.098516e+00 
53 424 0 0 0 -6.819164e+00 5.528331e-01 -3.970255e-01 4.179281e+00 
54 432 0 0 0 -6.713758e+00 5.331787e-01 -3.565624e-01 4.122124e+00 
55 440 0 0 0 -6.816606e+00 5.883799e-01 -3.332338e-01 4.201146e+00 
56 448 0 0 0 -6.790400e+00 5.508157e-01 -3.090284e-01 4.216378e+00 
57 456 0 0 0 -6.951994e+00 5.825296e-01 -3.811567e-01 4.183138e+00 
58 464 0 0 0 -6.906983e+00 5.725036e-01 -4.314652e-01 4.085566e+00 
59 472 0 0 0 -6.922320e+00 5.572730e-01 -5.440513e-01 4.059859e+00 
60 480 0 0 0 -7.068594e+00 6.131416e-01 -6.323471e-01 4.096999e+00 
61 488 0 0 0 -7.294239e+00 6.351057e-01 -7.175181e-01 4.214601e+00 
62 496 0 0 0 -7.228190e+00 6.048159e-01 -6.732946e-01 4.099555e+00 
63 504 0 0 0 -7.247701e+00 5.423342e-01 -8.708605e-01 3.944666e+00 
64 512 0 0 0 -7.400546e+00 5.904164e-01 -8.732416e-01 4.145860e+00 
65 520 0 0 0 -7.349924e+00 5.919443e-01 -7.762661e-01 4.221219e+00 
66 528 0 0 0 -7.450020e+00 6.095277e-01 -8.225540e-01 4.262401e+00 
67 536 0 0 0 -7.401721e+00 5.917840e-01 -8.148898e-01 4.244292e+00 
68 544 0 0 0 -7.409780e+00 5.975344e-01 -7.979574e-01 4.270703e+00 
69 552 0 0 0 -7.424987e+00 5.936948e-01 -8.467023e-01 4.248561e+00 
70 560 0 0 0 -7.398327e+00 5.902698e-01 -8.740286e-01 4.220018e+00 
71 568 0 0 0 -7.413960e+00 5.964242e-01 -7.831763e-01 4.286476e+00 
72 576 0 0 0 -7.452205e+00 6.031146e-01 -7.852406e-01 4.335207e+00 
73 584 0 0 0 -7.505966e+00 6.054460e-01 -7.705625e-01 4.404262e+00 
74 592 0 0 0 -7.525746e+00 6.107984e-01 -8.442755e-01 4.376623e+00 
75 600 0 0 0 -7.489159e+00 5.944300e-01 -8.078500e-01 4.315334e+00 
76 608 0 0 0 -7.450000e+00 5.878092e-01 -7.740056e-01 4.260393e+00 
77 616 0 0 0 -7.458485e+00 5.900939e-01 -7.849783e-01 4.279106e+00 
78 624 0 0 0 -7.435434e+00 5.831866e-01 -7.797810e-01 4.255941e+00 
79 632 0 0 0 -7.439293e+00 5.714080e-01 -7.154725e-01 4.295731e+00 
80 640 0 0 0 -7.413160e+00 5.850340e-01 -6.800118e-01 4.278006e+00 
81 648 0 0 0 -7.432547e+00 5.921181e-01 -7.257410e-01 4.268666e+00 
82 656 0 0 0 -7.417127e+00 5.936365e-01 -7.605071e-01 4.242578e+00 
83 664 0 0 0 -7.418129e+00 5.902266e-01 -7.742757e-01 4.241606e+00 
