%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=215678, 2017/11/24 11:34:59.78)
1 8 -5.200000000000000000e+01 0 0 -8.165495e-01 -2.006962e+00 1.250941e+00 1.328939e+00 
2 16 -6.800000000000000000e+01 0 0 -1.065981e+00 -3.675900e+00 1.146087e+00 -2.755778e-01 
3 24 -6.800000000000000000e+01 0 0 -2.379183e-01 -2.826114e+00 1.481808e+00 -1.643170e+00 
4 32 -7.200000000000000000e+01 0 0 -2.209170e+00 -3.022508e+00 6.463712e-01 -2.450289e+00 
5 40 -9.300000000000000000e+01 0 0 -3.232234e+00 -1.472322e+00 4.707255e-01 -2.405996e+00 
6 48 -1.070000000000000000e+02 0 0 -3.822872e+00 -2.254069e+00 7.953780e-01 -1.599576e+00 
7 56 -4.700000000000000000e+01 0 0 -4.007513e+00 -1.361130e+00 1.328613e+00 -1.311027e+00 
8 64 -1.090000000000000000e+02 0 0 -6.227436e+00 -9.635963e-01 7.760976e-01 4.446825e-01 
9 72 -5.400000000000000000e+01 0 0 -3.512017e+00 -2.224447e+00 1.178575e+00 -3.177152e-02 
10 80 -6.200000000000000000e+01 0 0 -4.526542e+00 1.002740e-01 5.364687e-01 1.408936e+00 
11 88 -8.300000000000000000e+01 0 0 -7.758841e+00 -7.220171e-01 -4.001071e-01 1.499186e+00 
12 96 -1.170000000000000000e+02 0 0 -8.246014e+00 4.697277e-01 -1.338996e+00 1.386598e+00 
13 104 -5.700000000000000000e+01 0 0 -7.019169e+00 3.617562e-01 -2.190982e+00 2.191253e+00 
14 112 -5.300000000000000000e+01 0 0 -5.222925e+00 6.374986e-01 -2.060747e-02 3.517877e+00 
15 120 -7.500000000000000000e+01 0 0 -4.597241e+00 2.941231e-01 5.679863e-01 2.724572e+00 
16 128 -5.900000000000000000e+01 0 0 -7.406038e+00 2.746328e-01 -4.613345e-01 2.777498e+00 
17 136 -6.600000000000000000e+01 0 0 -7.066609e+00 2.548428e-01 1.025690e+00 3.349834e+00 
18 144 -6.500000000000000000e+01 0 0 -6.977126e+00 -1.756653e-02 1.145101e+00 3.446616e+00 
19 152 -6.100000000000000000e+01 0 0 -7.692698e+00 -1.072566e-01 -1.975241e-01 3.061476e+00 
20 160 -6.600000000000000000e+01 0 0 -6.808033e+00 1.601599e-01 1.435821e-01 3.555389e+00 
21 168 -6.800000000000000000e+01 0 0 -7.811157e+00 5.913518e-01 -5.128881e-01 3.021769e+00 
22 176 -6.600000000000000000e+01 0 0 -6.742770e+00 3.853507e-01 -1.664206e-01 3.686050e+00 
23 184 -7.300000000000000000e+01 0 0 -7.608526e+00 5.342130e-01 -1.044748e+00 3.237705e+00 
24 192 -6.600000000000000000e+01 0 0 -6.499428e+00 4.919291e-02 1.134164e-01 3.629599e+00 
25 200 -6.500000000000000000e+01 0 0 -6.516330e+00 1.415074e-01 5.503718e-03 3.093636e+00 
26 208 -6.600000000000000000e+01 0 0 -6.196954e+00 7.578701e-02 4.218939e-01 2.972653e+00 
27 216 -7.700000000000000000e+01 0 0 -7.263262e+00 3.565381e-01 4.374459e-01 3.548873e+00 
28 224 -7.300000000000000000e+01 0 0 -7.649335e+00 2.001842e-01 -2.194770e-01 3.995686e+00 
29 232 -6.800000000000000000e+01 0 0 -7.530379e+00 5.258936e-01 -4.609816e-01 4.049153e+00 
30 240 -9.100000000000000000e+01 0 0 -7.156408e+00 6.561713e-01 1.275662e-01 4.489920e+00 
31 248 -1.340000000000000000e+02 0 0 -7.487476e+00 6.053371e-01 9.213312e-02 4.549666e+00 
32 256 -7.900000000000000000e+01 0 0 -7.306152e+00 6.001756e-01 -4.557513e-01 4.879715e+00 
33 264 -8.400000000000000000e+01 0 0 -7.524522e+00 6.091548e-01 4.763395e-02 4.511034e+00 
34 272 -7.900000000000000000e+01 0 0 -7.102580e+00 3.768300e-01 4.566321e-01 4.594532e+00 
35 280 -7.200000000000000000e+01 0 0 -6.856653e+00 3.253271e-01 8.166512e-02 3.591791e+00 
36 288 -7.300000000000000000e+01 0 0 -5.974805e+00 1.750739e-01 2.013514e-01 3.741274e+00 
37 296 -7.000000000000000000e+01 0 0 -5.972651e+00 2.491414e-01 8.273269e-01 3.872127e+00 
